plan,district,WVAP,C-VAP,WProp,CProp
0,0,37635,18467,0.735736218302935,0.264263781697065
0,1,34983,17970,0.726737663969367,0.273262336030633
0,2,8670,35831,0.248436227194156,0.751563772805844
0,3,38567,16941,0.756693263583691,0.243306736416309
0,4,25094,25991,0.568774579316696,0.431225420683304
0,5,45318,16724,0.787318019356786,0.212681980643214
0,6,21747,24956,0.543474023306181,0.456525976693819
0,7,28534,22657,0.632417563858571,0.367582436141429
0,8,14069,33069,0.367571868673827,0.632428131326173
0,9,43741,14018,0.809985879087539,0.190014120912461
0,10,42670,13410,0.812976840353221,0.187023159646779
1,0,8875,37471,0.244464955321998,0.755535044678002
1,1,28227,22835,0.628073112543172,0.371926887456828
1,2,23382,24414,0.566794482676771,0.433205517323229
1,3,46759,15006,0.809772311262906,0.190227688737094
1,4,33907,21121,0.686827377291312,0.313172622708688
1,5,35965,17850,0.733512538954788,0.266487461045212
1,6,18034,32849,0.428570057016881,0.571429942983119
1,7,33820,15882,0.744186062886935,0.255813937113065
1,8,35609,17768,0.732466750711753,0.267533249288247
1,9,42238,15483,0.788440791228838,0.211559208771162
1,10,34212,19355,0.707153761916632,0.292846238083368
2,0,24796,24935,0.576002557120563,0.423997442879437
2,1,43448,15518,0.792742906512826,0.207257093487174
2,2,8848,37418,0.24416374689359,0.75583625310641
2,3,22808,24521,0.559604284594208,0.440395715405792
2,4,32704,21634,0.673752383802848,0.326247616197152
2,5,25802,24016,0.59476675332684,0.40523324667316
2,6,41547,19481,0.744475272067572,0.255524727932428
2,7,37556,16559,0.756000923401703,0.243999076598297
2,8,33974,17793,0.722874503420068,0.277125496579932
2,9,43985,10957,0.845775537229468,0.154224462770532
2,10,25560,27202,0.562105833180711,0.437894166819289
3,0,37931,16776,0.755431595192069,0.244568404807931
3,1,26223,26655,0.573375087406739,0.426624912593261
3,2,8689,35994,0.247997751380499,0.752002248619501
3,3,40571,17712,0.757823904669784,0.242176095330216
3,4,22570,23985,0.562463895898574,0.437536104101426
3,5,15713,34032,0.386787022506461,0.613212977493539
3,6,37929,18490,0.737005204447097,0.262994795552903
3,7,40864,11721,0.82647416139691,0.17352583860309
3,8,36408,17978,0.734507674080013,0.265492325919987
3,9,41770,15386,0.787629454452805,0.212370545547195
3,10,32360,21305,0.67479563242906,0.32520436757094
4,0,34437,17896,0.724427135214113,0.275572864785887
4,1,34981,18205,0.724138459264546,0.275861540735454
4,2,25139,26635,0.563202378717362,0.436797621282638
4,3,43739,12238,0.830005896326667,0.169994103673333
4,4,8848,37418,0.24416374689359,0.75583625310641
4,5,32940,21376,0.677955887670242,0.322044112329758
4,6,23569,24342,0.56947360526445,0.43052639473555
4,7,32521,19566,0.6942506541809,0.3057493458191
4,8,21128,28640,0.501942389709516,0.498057610290484
4,9,43781,13274,0.818373650181631,0.181626349818369
4,10,39945,20444,0.727463015485265,0.272536984514735
5,0,41819,17712,0.763340748125408,0.236659251874592
5,1,39329,17830,0.750831988050529,0.249168011949471
5,2,44327,12157,0.832808463785429,0.167191536214571
5,3,35620,17686,0.733432617844626,0.266567382155374
5,4,8986,39080,0.239036660445578,0.760963339554422
5,5,16036,33712,0.393877324848875,0.606122675151125
5,6,25308,26191,0.568977224993667,0.431022775006333
5,7,40200,14993,0.78554171777573,0.21445828222427
5,8,37225,17877,0.739898364897162,0.260101635102838
5,9,33601,14733,0.757025551285197,0.242974448714803
5,10,18577,28063,0.474882919133449,0.525117080866551
6,0,25446,26462,0.567785958750973,0.432214041249027
6,1,35763,18548,0.724825728084738,0.275174271915262
6,2,36023,18378,0.728094860959611,0.271905139040389
6,3,35911,22366,0.686859217022954,0.313140782977046
6,4,35823,15941,0.754298446224793,0.245701553775207
6,5,21343,30287,0.490496145940839,0.509503854059161
6,6,8986,39080,0.239036660445578,0.760963339554422
6,7,24351,22722,0.594165886840715,0.405834113159285
6,8,34681,18626,0.7178067570906,0.2821932429094
6,9,36462,16656,0.74941127375006,0.25058872624994
6,10,46239,10968,0.852055746879131,0.147944253120869
7,0,24658,24664,0.577307835952985,0.422692164047015
7,1,8793,36647,0.246865374061263,0.753134625938737
7,2,35271,17023,0.738940777388073,0.261059222611927
7,3,34260,20221,0.698303355206983,0.301696644793017
7,4,23341,23594,0.57473432357407,0.42526567642593
7,5,43780,16263,0.786214968627904,0.213785031372096
7,6,15155,34296,0.37643128339446,0.62356871660554
7,7,29229,24541,0.619350169893797,0.380649830106203
7,8,41394,12444,0.819634347324421,0.180365652675579
7,9,46095,14074,0.817328274355904,0.182671725644096
7,10,39052,16267,0.766334891722916,0.233665108277084
8,0,25421,27610,0.557092991861766,0.442907008138234
8,1,22972,25928,0.547587373701161,0.452412626298839
8,2,8803,36828,0.246161359260354,0.753838640739646
8,3,35299,17891,0.729390337209392,0.270609662790608
8,4,35370,18067,0.727852000710196,0.272147999289804
8,5,21183,23327,0.553682849585518,0.446317150414482
8,6,33189,22248,0.670829939668358,0.329170060331642
8,7,43819,10098,0.855660422455166,0.144339577544834
8,8,43144,15585,0.790875238441259,0.209124761558741
8,9,41813,18404,0.756320986150099,0.243679013849901
8,10,30015,24048,0.63032706698137,0.36967293301863
9,0,25325,27397,0.558070096865543,0.441929903134457
9,1,42606,16389,0.780290398571149,0.219709601428851
9,2,22478,28394,0.519573482826014,0.480426517173986
9,3,8782,37066,0.244526471786512,0.755473528213488
9,4,42148,16533,0.776919424895294,0.223080575104706
9,5,27798,25555,0.597751689845188,0.402248310154812
9,6,20854,23198,0.551183699636759,0.448816300363241
9,7,36078,15404,0.761882992612535,0.238117007387465
9,8,36492,18735,0.726845107419389,0.273154892580611
9,9,36752,16627,0.751221859738506,0.248778140261494
9,10,41715,14736,0.794544913472602,0.205455086527398
10,0,8986,39080,0.239036660445578,0.760963339554422
10,1,35310,17809,0.730357479270134,0.269642520729866
10,2,36960,16807,0.750263018342226,0.249736981657774
10,3,25626,24424,0.589044300103383,0.410955699896617
10,4,34546,18006,0.723834309536744,0.276165690463256
10,5,13189,35464,0.336895414625813,0.663104585374187
10,6,18989,26447,0.49517312466576,0.50482687533424
10,7,36691,20089,0.713886184622241,0.286113815377759
10,8,39249,14181,0.790840252807746,0.209159747192254
10,9,43958,11308,0.84153568028582,0.15846431971418
10,10,47524,16419,0.798149791910707,0.201850208089293
11,0,8670,35831,0.248436227194156,0.751563772805844
11,1,35723,17919,0.731433529455172,0.268566470544828
11,2,26263,24856,0.590742746480736,0.409257253519264
11,3,43953,12967,0.82239925707333,0.17760074292667
11,4,22770,25188,0.55256775834836,0.44743224165164
11,5,41004,17702,0.759869970392424,0.240130029607576
11,6,13012,34154,0.342306398004374,0.657693601995626
11,7,37037,15263,0.768250815876268,0.231749184123732
11,8,35641,18489,0.724779617458874,0.275220382541126
11,9,32475,24556,0.643706742312268,0.356293257687732
11,10,44480,13109,0.822549271034201,0.177450728965799
12,0,26701,25089,0.592484629482866,0.407515370517134
12,1,36813,19101,0.724737656898527,0.275262343101473
12,2,24843,24486,0.580895177637058,0.419104822362942
12,3,35380,18810,0.719853050687584,0.280146949312416
12,4,43960,9720,0.860694382226622,0.139305617773378
12,5,8987,38784,0.240442703523097,0.759557296476903
12,6,24813,20900,0.618596024112605,0.381403975887395
12,7,44086,13475,0.817168584811408,0.182831415188592
12,8,27110,26409,0.583746549521733,0.416253450478267
12,9,28911,25082,0.611600882604109,0.388399117395891
12,10,39424,18178,0.747653682808835,0.252346317191165
13,0,8986,39080,0.239036660445578,0.760963339554422
13,1,32952,20232,0.689923399910355,0.310076600089645
13,2,26093,24684,0.590851509118039,0.409148490881961
13,3,22888,24205,0.563659709905369,0.436340290094631
13,4,38907,19423,0.732372076864677,0.267627923135323
13,5,30606,23682,0.638406729039709,0.361593270960291
13,6,36726,18071,0.735196792759543,0.264803207240457
13,7,35552,18041,0.729151959682031,0.270848040317969
13,8,22911,27705,0.530456997350841,0.469543002649159
13,9,43162,13803,0.810313620395347,0.189686379604653
13,10,42245,11108,0.838592842599667,0.161407157400333
14,0,25308,26191,0.568977224993667,0.431022775006333
14,1,30307,20987,0.663615993559288,0.336384006440712
14,2,8808,37041,0.245197846935745,0.754802153064255
14,3,22197,23565,0.562710379454949,0.437289620545051
14,4,43198,14352,0.804377146408483,0.195622853591517
14,5,46635,15517,0.804142619983045,0.195857380016955
14,6,34979,17985,0.72654921628896,0.27345078371104
14,7,33882,20811,0.689841193597511,0.310158806402489
14,8,36593,17882,0.73653517173328,0.26346482826672
14,9,45134,10455,0.855020150771799,0.144979849228201
14,10,13987,35248,0.351533416559986,0.648466583440014
15,0,8816,37488,0.243151597739882,0.756848402260118
15,1,34238,17626,0.726301050024531,0.273698949975469
15,2,25654,26998,0.564860340735806,0.435139659264194
15,3,23302,23573,0.574543223097239,0.425456776902761
15,4,40247,11271,0.829880019065775,0.170119980934225
15,5,35605,20147,0.707113379876044,0.292886620123956
15,6,36879,18072,0.73599460873322,0.26400539126678
15,7,34559,20847,0.693691106309552,0.306308893690448
15,8,13046,34643,0.339698217998246,0.660301782001754
15,9,47991,15279,0.810998142668753,0.189001857331247
15,10,40691,14090,0.797786407888814,0.202213592111186
16,0,8832,37435,0.243746139720189,0.756253860279811
16,1,35494,17857,0.730850678562342,0.269149321437658
16,2,32884,17276,0.722248558929192,0.277751441070808
16,3,41831,19924,0.741482356367861,0.258517643632139
16,4,25446,26462,0.567785958750973,0.432214041249027
16,5,25573,25092,0.581993622990298,0.418006377009702
16,6,36327,20127,0.711457610898433,0.288542389101567
16,7,23416,25067,0.560660249753358,0.439339750246642
16,8,44470,11247,0.843788121785702,0.156211878214298
16,9,25256,25471,0.575297400237062,0.424702599762938
16,10,41499,14076,0.801098291685256,0.198901708314744
17,0,25094,25991,0.568774579316696,0.431225420683304
17,1,8924,38429,0.240837514345269,0.759162485654731
17,2,34832,18451,0.720590526750186,0.279409473249814
17,3,40270,17349,0.760249281718291,0.239750718281709
17,4,41599,11691,0.829378868816463,0.170621131183537
17,5,31378,18361,0.700116550730269,0.299883449269731
17,6,17861,31513,0.436395006356937,0.563604993643063
17,7,22254,24544,0.553303951088468,0.446696048911532
17,8,40443,17665,0.757731605293835,0.242268394706165
17,9,42176,17584,0.766174834353931,0.233825165646069
17,10,36197,18456,0.728210341958902,0.271789658041098
18,0,46331,12057,0.839988248758211,0.160011751241789
18,1,30642,22444,0.650973949824911,0.349026050175089
18,2,8986,39080,0.239036660445578,0.760963339554422
18,3,30745,21780,0.658520954867165,0.341479045132835
18,4,44125,16008,0.790163740908954,0.209836259091046
18,5,16133,35067,0.385938065612294,0.614061934387706
18,6,30016,19963,0.672568430745663,0.327431569254337
18,7,22810,22420,0.58156967209771,0.41843032790229
18,8,37694,18154,0.739348431884618,0.260651568115382
18,9,36928,17540,0.742013628231239,0.257986371768761
18,10,36618,15521,0.763202986483441,0.236797013516559
19,0,34251,17593,0.726748812134573,0.273251187865427
19,1,21941,29022,0.508068708136028,0.491931291863972
19,2,25446,26462,0.567785958750973,0.432214041249027
19,3,37872,17056,0.752070338117098,0.247929661882902
19,4,37911,13440,0.793962941275518,0.206037058724482
19,5,45211,15133,0.803203419193838,0.196796580806162
19,6,8848,37418,0.24416374689359,0.75583625310641
19,7,38661,18806,0.737425484948669,0.262574515051331
19,8,33625,21997,0.676194673600982,0.323805326399018
19,9,21456,24914,0.540548057685064,0.459451942314936
19,10,35806,18193,0.728900898221853,0.271099101778147